,Flow status,Flow date,Decision date,Amount (USD),Source Organization,Source Organization type,Source Location,Source Usage year,Source Field cluster,Source Sector,Destination Organization,Destination Usage year,Destination Organization type,Destination Location,Destination Field cluster,Destination Sector,New money,Last updated,Created,Earmarking,Budget year,Contribution type,Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
101707,Paid Contribution,24/06/2014,24/06/2014,819301,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,,,Yes,04/11/2014,04/11/2014,,2014,financial,Standard,European Commission's Humanitarian Aid and Civil Protection Department,,,
102030,Paid Contribution,11/11/2014,11/11/2014,1036269,"Switzerland, Government of",Government: National government,Switzerland,2014,,,Yemen Humanitarian Fund,2014,Pooled fund: Country-based,Yemen,,,Yes,16/01/2015,12/11/2014,softly earmarked,2014,financial,Standard,,,,
102437,Paid Contribution,01/01/2014,01/01/2014,797941,Office for the Coordination of Humanitarian Affairs,UN agency,Yemen,2013,,Coordination and support services,Office for the Coordination of Humanitarian Affairs,2014,UN agency,Yemen,COORDINATION AND SUPPORT SERVICES,Coordination and support services,No,20/11/2014,20/11/2014,,2014,financial,Carryover,Office for the Coordination of Humanitarian Affairs,,,
102692,Paid Contribution,24/11/2014,24/11/2014,3949447,"United Kingdom, Government of",Government: National government,United Kingdom,2014,,,Yemen Humanitarian Fund,2014,Pooled fund: Country-based,Yemen,,,Yes,04/02/2015,27/11/2014,softly earmarked,2014,financial,Standard,,,,
102733,Paid Contribution,11/06/2013,11/06/2013,131143,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,28/11/2014,28/11/2014,,2014,financial,Standard,World Food Programme,,,
102734,Paid Contribution,23/12/2013,23/12/2013,6377,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,28/11/2014,28/11/2014,,2014,financial,Standard,World Food Programme,,,
102735,Paid Contribution,26/12/2013,26/12/2013,4183,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,28/11/2014,28/11/2014,,2014,financial,Standard,World Food Programme,,,
102736,Paid Contribution,29/12/2013,29/12/2013,14671,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,28/11/2014,28/11/2014,,2014,financial,Standard,World Food Programme,,,
102737,Paid Contribution,16/12/2013,16/12/2013,118895,"Germany, Government of",Government: National government,Germany,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,28/11/2014,28/11/2014,,2014,financial,Standard,World Food Programme,,,
102738,Paid Contribution,11/07/2014,11/07/2014,5323543,"Japan, Government of",Government: National government,Japan,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,28/12/2015,28/11/2014,,2014,financial,Standard,"Japan, Government of",,,
103373,Paid Contribution,03/09/2014,03/09/2014,1500000,"United States of America, Government of",Government: National government,United States,2014,,,International Organization for Migration,2014,UN agency,Yemen,,,Yes,12/12/2014,12/12/2014,,2014,financial,Standard,"United States of America, Government of",,,
103716,Paid Contribution,13/01/2015,13/01/2015,1638002,"Denmark, Government of",Government: National government,Denmark,2014,,,Yemen Humanitarian Fund,2014,Pooled fund: Country-based,Yemen,,,Yes,20/05/2015,31/12/2014,softly earmarked,2014,financial,Standard,,,,
103840,Paid Contribution,06/01/2014,06/01/2014,803248,Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),Private organization/foundation: Local/National organization/foundation/individual,,2014,,,,2014,,Yemen,,Emergency Shelter and NFI,Yes,12/01/2015,12/01/2015,,2014,financial,Standard,Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),,,
103972,Paid Contribution,27/05/2014,27/05/2014,133775,Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),Private organization/foundation: Local/National organization/foundation/individual,,2014,,,,2014,,Yemen,,Early Recovery,Yes,22/01/2015,22/01/2015,,2014,financial,Standard,Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),,,
103979,Paid Contribution,30/12/2013,30/12/2013,1725000,"Qatar, Government of",Government: National government,Qatar,2014,,,Qatar Red Crescent Society,2014,Red Cross/Red Crescent: National Society,Yemen,,Health,Yes,22/01/2015,22/01/2015,,2014,financial,Standard,Qatar Red Crescent Society,,,
103986,Paid Contribution,13/03/2014,13/03/2014,163885,Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),Private organization/foundation: Local/National organization/foundation/individual,,2014,,,,2014,,Yemen,,Water Sanitation Hygiene,Yes,20/07/2015,22/01/2015,,2014,financial,Standard,Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),,,
104022,Paid Contribution,08/04/2014,08/04/2014,273973,Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),Private organization/foundation: Local/National organization/foundation/individual,,2014,,,,2014,,Yemen,,Multi-sector,Yes,28/01/2015,28/01/2015,,2014,financial,Standard,Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),,,
104059,Paid Contribution,14/12/2014,14/12/2014,1239157,"Finland, Government of",Government: National government,Finland,2014,,,World Health Organization,2014,UN agency,Yemen,HEALTH,Health,Yes,30/01/2015,30/01/2015,,2014,financial,Standard,World Health Organization,,,
104557,Paid Contribution,25/03/2014,25/03/2014,343879,"Luxembourg, Government of",Government: National government,Luxembourg,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,27/02/2015,27/02/2015,,2014,financial,Standard,World Food Programme,,,
104558,Paid Contribution,11/03/2014,11/03/2014,2051984,"Finland, Government of",Government: National government,Finland,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,27/02/2015,27/02/2015,,2014,financial,Standard,World Food Programme,,,
104565,Paid Contribution,19/06/2014,19/06/2014,1360544,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2014,,,International Organization for Migration,2014,UN agency,Yemen,MULTI-SECTOR ,Multi-sector,Yes,27/02/2015,27/02/2015,,2014,financial,Standard,International Organization for Migration,,,
104566,Paid Contribution,18/06/2014,18/06/2014,5442176,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2014,,,United Nations High Commissioner for Refugees,2014,UN agency,Yemen,PROTECTION (GBV&Child Protection),Protection,Yes,21/11/2017,27/02/2015,,2014,financial,Standard,United Nations High Commissioner for Refugees,,,
104567,Paid Contribution,16/06/2014,16/06/2014,8155102,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,27/02/2015,27/02/2015,,2014,financial,Standard,European Commission's Humanitarian Aid and Civil Protection Department,,,
104637,Paid Contribution,21/02/2015,01/12/2014,247424,"Germany, Government of",Government: National government,Germany,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,PROTECTION (GBV&Child Protection),Protection,Yes,21/11/2017,03/03/2015,,2014,financial,Standard,United Nations Children's Fund,,,
105372,Paid Contribution,31/10/2014,31/10/2014,488363,"Norway, Government of",Government: National government,Norway,2014,,,Norwegian Refugee Council,2014,NGO: International,Yemen,SHELTER/CCCM/NFI,Emergency Shelter and NFI,Yes,28/05/2015,28/05/2015,,2014,financial,Standard,"Norway, Government of",,,
105606,Paid Contribution,28/04/2015,28/04/2015,500000,"United States of America, Government of",Government: National government,United States,2014,,,Food & Agriculture Organization of the United Nations,2014,UN agency,Yemen,FOOD SECURITY AND AGRICULTURE,Agriculture,Yes,21/11/2017,30/06/2015,,2014,financial,Standard,"United States of America, Government of",,,
105854,Paid Contribution,01/12/2014,01/12/2014,1000000,"Japan, Government of",Government: National government,Japan,2014,,,United Nations Development Programme,2014,UN agency,Yemen,EARLY RECOVERY,Early Recovery,Yes,28/12/2015,28/12/2015,,2014,financial,Standard,"Japan, Government of",,,
105855,Paid Contribution,01/12/2014,01/12/2014,1500000,"Japan, Government of",Government: National government,Japan,2014,,,United Nations Development Programme,2014,UN agency,Yemen,,Early Recovery,Yes,28/12/2015,28/12/2015,,2014,financial,Standard,"Japan, Government of",,,
105856,Paid Contribution,01/12/2014,01/12/2014,320000,"Japan, Government of",Government: National government,Japan,2014,,,NGOs (details not yet provided),2014,NGO: International,Yemen,,Early Recovery,Yes,28/12/2015,28/12/2015,,2014,financial,Standard,"Japan, Government of",,,
105857,Paid Contribution,01/12/2014,01/12/2014,60000,"Japan, Government of",Government: National government,Japan,2014,,,International Committee of the Red Cross,2014,Red Cross/Red Crescent: International Society,Yemen,,,Yes,28/12/2015,28/12/2015,,2014,financial,Standard,"Japan, Government of",,,
106006,Paid Contribution,31/12/2014,31/12/2014,13264682,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2014,,,Médecins sans Frontičres,2014,NGO: International,Yemen,,Health,Yes,07/03/2016,07/03/2016,,2014,financial,Standard,Médecins sans Frontičres,,,
106344,Paid Contribution,27/02/2015,27/02/2015,413223,"United Kingdom, Government of",Government: National government,United Kingdom,2015,,,Office for the Coordination of Humanitarian Affairs,2015,UN agency,Yemen,Coordination and Security,Coordination and support services,Yes,29/09/2015,12/12/2013,,2015,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
106364,Paid Contribution,30/06/2014,30/06/2014,2194865,"United States of America, Government of",Government: National government,United States,2015,,,Agency for Technical Cooperation and Development,2015,NGO: International,Yemen,Early Recovery,Early Recovery,Yes,12/03/2015,09/09/2014,,2015,financial,Standard,"United States of America, Government of",,,
106400,Paid Contribution,12/12/2014,12/12/2014,619579,"Ireland, Government of",Government: National government,Ireland,2015,,,Yemen Humanitarian Fund,2015,Pooled fund: Country-based,Yemen,,,Yes,12/03/2015,15/12/2014,softly earmarked,2015,financial,Standard,,,,
106739,Paid Contribution,01/04/2015,01/04/2015,414508,"Switzerland, Government of",Government: National government,Switzerland,2015,,,Office for the Coordination of Humanitarian Affairs,2015,UN agency,Yemen,Coordination and Security,Coordination and support services,Yes,20/04/2015,18/02/2015,,2015,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
106794,Paid Contribution,01/01/2015,01/01/2015,11294139,Yemen Humanitarian Fund,Pooled fund: Country-based,Yemen,2014,,,Yemen Humanitarian Fund,2015,Pooled fund: Country-based,Yemen,,,No,13/04/2016,20/02/2015,softly earmarked,2015,financial,Carryover,,,,
107090,Paid Contribution,11/03/2015,11/03/2015,541712,"Ireland, Government of",Government: National government,Ireland,2015,,,Yemen Humanitarian Fund,2015,Pooled fund: Country-based,Yemen,,,Yes,05/05/2015,12/03/2015,softly earmarked,2015,financial,Standard,"Ireland, Government of",,,
107180,Paid Contribution,16/03/2015,16/03/2015,2700000,"Japan, Government of",Government: National government,Japan,2015,,,World Health Organization,2015,UN agency,Yemen,Health,Health,Yes,24/12/2015,17/03/2015,,2015,financial,Standard,"Japan, Government of",,,
107218,Paid Contribution,25/03/2015,25/03/2015,3488778,"Sweden, Government of",Government: National government,Sweden,2015,,,Yemen Humanitarian Fund,2015,Pooled fund: Country-based,Yemen,,,Yes,08/05/2015,18/03/2015,softly earmarked,2015,financial,Standard,,,,
107224,Paid Contribution,30/12/2014,30/12/2014,1580778,"Denmark, Government of",Government: National government,Denmark,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,,,Yes,18/03/2015,18/03/2015,,2015,financial,Standard,United Nations Children's Fund,,,
107225,Paid Contribution,27/02/2015,27/02/2015,6400000,"Japan, Government of",Government: National government,Japan,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,,,Yes,24/12/2015,18/03/2015,,2015,financial,Standard,United Nations Children's Fund,,,
107314,Paid Contribution,16/03/2015,16/03/2015,636780,"Sweden, Government of",Government: National government,Sweden,2015,,,Office for the Coordination of Humanitarian Affairs,2015,UN agency,Yemen,Coordination and Security,Coordination and support services,Yes,20/03/2015,20/03/2015,,2015,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
107336,Paid Contribution,17/02/2015,17/02/2015,10000000,"Japan, Government of",Government: National government,Japan,2015,,,World Food Programme,2015,UN agency,Yemen,,,Yes,24/12/2015,20/03/2015,,2015,financial,Standard,"Japan, Government of",,,
107337,Paid Contribution,15/03/2015,15/03/2015,1334059,,,,2015,,,World Food Programme,2015,UN agency,Yemen,,,Yes,18/04/2017,20/03/2015,,2015,financial,Standard,World Food Programme,,,
107338,Paid Contribution,15/03/2015,15/03/2015,13226563,,,,2015,,,World Food Programme,2015,UN agency,Yemen,,,Yes,18/04/2017,20/03/2015,,2015,financial,Standard,World Food Programme,,,
107339,Paid Contribution,15/03/2015,15/03/2015,109251,,,,2015,,,World Food Programme,2015,UN agency,Yemen,Logistics,Logistics,Yes,21/11/2017,20/03/2015,,2015,financial,Standard,World Food Programme,,,
107464,Paid Contribution,20/01/2015,20/01/2015,750000,"United States of America, Government of",Government: National government,United States,2015,,,Office for the Coordination of Humanitarian Affairs,2015,UN agency,Yemen,Coordination and Security,Coordination and support services,Yes,30/06/2015,25/03/2015,,2015,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
107524,Paid Contribution,11/03/2015,11/03/2015,2120891,"Finland, Government of",Government: National government,Finland,2015,,,World Food Programme,2015,UN agency,Yemen,,,Yes,10/07/2015,27/03/2015,,2015,financial,Standard,"Finland, Government of",,,
107863,Paid Contribution,30/03/2015,30/03/2015,790514,"Canada, Government of",Government: National government,Canada,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,,,Yes,09/04/2015,08/04/2015,,2015,financial,Standard,"Canada, Government of",,,
107864,Paid Contribution,23/03/2015,23/03/2015,398406,"Switzerland, Government of",Government: National government,Switzerland,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,,,Yes,09/07/2015,08/04/2015,,2015,financial,Standard,United Nations Children's Fund,,,
