,Flow ID,Flow status,Flow date,Decision date,Amount (USD),Original amount,Description,Source Organization,Source Organization type,Source Emergency,Source Location,Source Project,Source Usage year,Source Plan,Source Field cluster,Source Sector,Destination Organization,DestOrgCode,Destination Usage year,DestoOrgCode,Destination Plan,Destination Organization type,Destination Emergency,Destination Location,Destination Project,Destination Field cluster,Destination Sector,Linked parent ID,Linked child ID,New money,Donor project code,Modality,Last updated,Created,Version ID,Earmarking,Budget year,Contribution type,Exchange rate,Original currency,Amount shared on boundary (USD),Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
99676,118532,Paid Contribution,13/08/2014,13/08/2014,837814,,Food assistance PRRO (Misc income),,,,,,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,,,,,,Yes,,Traditional aid,18/04/2017,14/08/2014,1,,2014,financial,,US Dollar,,Standard,World Food Programme,,,
99677,118533,Paid Contribution,20/05/2014,20/05/2014,10375029,,Food assistance PRRO,"Germany, Government of",Government: National government,,Germany,,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,,,,,,Yes,,Traditional aid,28/11/2014,14/08/2014,1,,2014,financial,,US Dollar,,Standard,World Food Programme,,,
99678,118534,Paid Contribution,23/07/2014,23/07/2014,24091622,,To be allocated to specific projects / clusters,"United States of America, Government of",Government: National government,,United States,,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,,,,,,Yes,,Traditional aid,14/08/2014,14/08/2014,1,,2014,financial,,US Dollar,,Standard,World Food Programme,,,
100161,119104,Paid Contribution,16/06/2014,16/06/2014,650762,478310,"Provision of humanitarian aid for the Yemeni population most affected by armed conflict, food insecurity and high levels of malnutrition (part of ECHO/YEM/BUD/2014/91004)",European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,,,2014,,,,OXFAM GB,,2014,,Yemen 2014,NGO: International,,Yemen,YEM-14/ER/68946/R/5120,EARLY RECOVERY,Early Recovery,152756,,Yes,part of ECHO/YEM/BUD/2014/91004,Traditional aid,02/09/2014,02/09/2014,1,,2014,financial,0.735,European Euro,,Standard,OXFAM GB,,,
100162,119105,Paid Contribution,16/06/2014,16/06/2014,2945556,2164984,"Provision of humanitarian aid, for the Yemeni population most affected by armed conflict, food insecurity and high levels of malnutrition
(part of ECHO/YEM/BUD/2014/91004)",European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,,,2014,,,,OXFAM GB,,2014,,,NGO: International,,Yemen,,,,152756,,Yes,part of ECHO/YEM/BUD/2014/91004,Traditional aid,27/02/2015,02/09/2014,1,,2014,financial,0.735,European Euro,,Standard,European Commission's Humanitarian Aid and Civil Protection Department,,,
100185,119133,Paid Contribution,29/08/2014,29/08/2014,2541296,2000000,Emergency Response Fund for Yemen - (the figure shown for 'funding' is the unallocated balance of the fund) [OCT 4601] (VN05 321.50 YEM 04/14),"Germany, Government of",Government: National government,,Germany,,2014,,,,Yemen Humanitarian Fund,,2014,,Yemen 2014,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 4601; VN05 321.50 YEM 04/14,Traditional aid,27/11/2014,02/09/2014,1,softly earmarked,2014,financial,0.787,European Euro,,Standard,"Germany, Government of",,,
100198,119157,Paid Contribution,03/09/2014,03/09/2014,13000000,,Emergency Food and Nutrition Support to Food Insecure and Conflict-Affected People,"Germany, Government of",Government: National government,,Germany,,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/H/69289/R/561,NUTRITION,Health,,,Yes,,Traditional aid,03/09/2014,03/09/2014,1,,2014,financial,,US Dollar,,Standard,World Food Programme,,,
100237,119197,Paid Contribution,04/09/2014,04/09/2014,28398219,,Food assistance PRRO (Resource transfer),,,,,,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,,,,,,Yes,,Traditional aid,18/04/2017,04/09/2014,1,,2014,financial,,US Dollar,,Standard,World Food Programme,,,
100239,119201,Paid Contribution,16/07/2014,16/07/2014,740083,5000000,Provision of Life-saving Humanitarian and Protection Assistance to Yemeni Migrants Returning from the Kingdom of Saudi Arabia,"Sweden, Government of",Government: National government,,Sweden,,2014,,,,International Organization for Migration,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/MS/69250/R/298,MULTI-SECTOR ,Multi-sector,,,Yes,,Traditional aid,04/09/2014,04/09/2014,1,,2014,financial,6.755999,Swedish Krona,,Standard,"Sweden, Government of",,,
100240,119202,Paid Contribution,01/07/2014,01/07/2014,707591,492226,"Outside SRP, for activities carreid out by our IP ADRA (203847-104)","United Kingdom, Government of",Government: National government,,United Kingdom,,2014,,,,International Organization for Migration,,2014,,,UN agency,,Yemen,,,Agriculture,,,Yes,203847-104,Traditional aid,21/11/2017,04/09/2014,1,,2014,financial,0.695636,Pound Sterling,,Standard,"United Kingdom, Government of",,,
100312,119279,Paid Contribution,30/06/2014,30/06/2014,853101,,Providing immediate food security inputs and durable agricultural livelihoods opportunities for vulnerable populations in six governorates of Yemen  (USAID/OFDA),"United States of America, Government of",Government: National government,,United States,,2014,,,,Agency for Technical Cooperation and Development,,2014,,Yemen 2014,NGO: International,,Yemen,YEM-14/F/69203/R/6458,FOOD SECURITY AND AGRICULTURE,Food Security,,,Yes,,Traditional aid,09/09/2014,09/09/2014,1,,2014,financial,,US Dollar,,Standard,Agency for Technical Cooperation and Development,,,
100313,119280,Paid Contribution,30/06/2014,30/06/2014,360785,,Community-based water supply and hygiene promotion in Sa'adah Governorate (USAID/OFDA),"United States of America, Government of",Government: National government,,United States,,2014,,,,Agency for Technical Cooperation and Development,,2014,,Yemen 2014,NGO: International,,Yemen,YEM-14/WS/69200/R/6458,"WATER, SANITATION AND HYGIENE",Water Sanitation Hygiene,,,Yes,,Traditional aid,09/09/2014,09/09/2014,1,,2014,financial,,US Dollar,,Standard,"United States of America, Government of",,,
100346,119317,Paid Contribution,04/09/2014,04/09/2014,995025,600000,Yemen - ERF (OCT 4071),"United Kingdom, Government of",Government: National government,,United Kingdom,,2014,,,,Yemen Humanitarian Fund,,2014,,Yemen 2014,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 4071,Traditional aid,06/01/2015,10/09/2014,1,softly earmarked,2014,financial,0.603,Pound Sterling,,Standard,,,,
100608,119615,Paid Contribution,22/08/2014,22/08/2014,2673797,2000000,"Basic needs of the refugees and IDPs in Yemen, strengthening their independence andprotection measures (VN05 321.50 YEM 01/14)","Germany, Government of",Government: National government,,Germany,,2014,,,,United Nations High Commissioner for Refugees,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/SNYS/68602/R/120,,,,,Yes,"VN05 321.50 YEM 01/14, [EDRIS:66360]",Traditional aid,24/09/2014,24/09/2014,1,,2014,financial,0.748,European Euro,,Standard,"Germany, Government of",,,
101301,120552,Paid Contribution,30/09/2014,30/09/2014,2000000,,Agriculture and food security (USAID/OFDA),"United States of America, Government of",Government: National government,,United States,,2014,,,,Adventist Development and Relief Agency,,2014,,Yemen 2014,NGO: International,,Yemen,YEM-14/F/69036/R/6579,FOOD SECURITY AND AGRICULTURE,Food Security,,,Yes,,Traditional aid,23/10/2014,23/10/2014,1,,2014,financial,,US Dollar,,Standard,"United States of America, Government of",,,
101303,120554,Paid Contribution,30/09/2014,30/09/2014,2000000,,"Agriculture and food security, ERMS, WASH (USAID/OFDA)","United States of America, Government of",Government: National government,,United States,,2014,,,,Global Communities,,2014,,,NGO: International,,Yemen,,,,,,Yes,,Traditional aid,23/10/2014,23/10/2014,1,,2014,financial,,US Dollar,,Standard,"United States of America, Government of",,,
101304,120555,Paid Contribution,30/09/2014,30/09/2014,828743,,"Agriculture and food security, WASH (USAID/OFDA)","United States of America, Government of",Government: National government,,United States,,2014,,,,CARE International,,2014,,Yemen 2014,NGO: International,,Yemen,YEM-14/WS/69186/R/5645,"WATER, SANITATION AND HYGIENE",Water Sanitation Hygiene,,,Yes,,Traditional aid,30/07/2015,23/10/2014,1,,2014,financial,,US Dollar,,Standard,"United States of America, Government of",,,
101305,120556,Paid Contribution,30/09/2014,30/09/2014,1000000,,"Health and nutrition, WASH (USAID/OFDA)","United States of America, Government of",Government: National government,,United States,,2014,,,,International Medical Corps,,2014,,,NGO: International,,Yemen,,,,,,Yes,,Traditional aid,23/10/2014,23/10/2014,1,,2014,financial,,US Dollar,,Standard,"United States of America, Government of",,,
101306,120557,Paid Contribution,30/09/2014,30/09/2014,5000000,,"Health and nutrition, Food vouchers (USAID/FFP)","United States of America, Government of",Government: National government,,United States,,2014,,,,Global Communities,,2014,,,NGO: International,,Yemen,,,,,,Yes,,Traditional aid,23/10/2014,23/10/2014,1,,2014,financial,,US Dollar,,Standard,"United States of America, Government of",,,
101307,120558,Paid Contribution,30/09/2014,30/09/2014,5000000,,"Health and nutrition, Food vouchers (USAID/FFP)","United States of America, Government of",Government: National government,,United States,,2014,,,,Save the Children,,2014,,Yemen 2014,NGO: International,,Yemen,YEM-14/SNYS/70036/R/6079,,,,,Yes,,Traditional aid,23/10/2014,23/10/2014,1,,2014,financial,,US Dollar,,Standard,"United States of America, Government of",,,
101308,120559,Paid Contribution,30/09/2014,30/09/2014,5000000,,"Health and nutrition, Food vouchers (USAID/FFP)","United States of America, Government of",Government: National government,,United States,,2014,,,,Mercy Corps,,2014,,,NGO: International,,Yemen,,,,,,Yes,,Traditional aid,23/10/2014,23/10/2014,1,,2014,financial,,US Dollar,,Standard,"United States of America, Government of",,,
101630,120953,Paid Contribution,03/03/2014,03/03/2014,2837134,,"WASH Emergency Project for Yemen. Water, Sanitation and Hygiene  (USAID/OFDA)","United States of America, Government of",Government: National government,,United States,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/WS/68822/R/124,"WATER, SANITATION AND HYGIENE",Water Sanitation Hygiene,,,Yes,,Traditional aid,03/11/2014,03/11/2014,1,,2014,financial,,US Dollar,,Standard,United Nations Children's Fund,,,
101633,120956,Paid Contribution,03/03/2014,03/03/2014,1325733,,Protection (GBV & Child Protection) (USAID/OFDA),"United States of America, Government of",Government: National government,,United States,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/P-HR-RL/72883/R/124,PROTECTION (GBV&Child Protection),Protection,,,Yes,,Traditional aid,21/11/2017,03/11/2014,1,,2014,financial,,US Dollar,,Standard,"United States of America, Government of",,,
101638,120963,Paid Contribution,24/06/2014,24/06/2014,961063,706381,"WASH Emergency Project for Yemen. Water, Sanitation and Hygiene (part of ECHO/YEM/BUD/2014/91010)",European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/WS/68822/R/124,"WATER, SANITATION AND HYGIENE",Water Sanitation Hygiene,152756,,Yes,part of ECHO/YEM/BUD/2014/91010,Traditional aid,04/11/2014,03/11/2014,1,,2014,financial,0.735,European Euro,,Standard,European Commission's Humanitarian Aid and Civil Protection Department,,,
101666,120992,Paid Contribution,27/03/2014,19/03/2014,126796,140110,Scaling up the integrated management of severe acute under nutrition among under 5 girls and boys in the most vulnerable communities in Yemen (D-000624),"Canada, Government of",Government: National government,,Canada,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/H/68976/R/124,NUTRITION,Health,,,Yes,D-000624,Traditional aid,04/11/2014,04/11/2014,1,,2014,financial,1.105,Canadian Dollar,,Standard,"Canada, Government of",,,
101667,120993,Paid Contribution,27/03/2014,19/03/2014,137595,152042,"WASH Emergency Project for Yemen. Water, Sanitation and Hygiene(D-000624)","Canada, Government of",Government: National government,,Canada,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/WS/68822/R/124,"WATER, SANITATION AND HYGIENE",Water Sanitation Hygiene,,,Yes,D-000624,Traditional aid,04/11/2014,04/11/2014,1,,2014,financial,1.105,Canadian Dollar,,Standard,"Canada, Government of",,,
101671,120997,Paid Contribution,27/03/2014,19/03/2014,249751,275975,Protection (GBV & Child Protection) (D-000624),"Canada, Government of",Government: National government,,Canada,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/P-HR-RL/72883/R/124,PROTECTION (GBV&Child Protection),Protection,,,Yes,D-000624,Traditional aid,21/11/2017,04/11/2014,1,,2014,financial,1.105,Canadian Dollar,,Standard,"Canada, Government of",,,
101672,120998,Paid Contribution,27/03/2014,19/03/2014,148396,163978,Health (D-000624),"Canada, Government of",Government: National government,,Canada,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/H/72884/R/124,HEALTH,Health,,,Yes,D-000624,Traditional aid,04/11/2014,04/11/2014,1,,2014,financial,1.105,Canadian Dollar,,Standard,"Canada, Government of",,,
101675,121001,Paid Contribution,24/02/2014,24/02/2014,1525124,,"Improve quality of learning and safe access to education for 1,115,000 IDPs, marginalized and disadvantaged children in the South, Center and North of Yemen","Japan, Government of",Government: National government,,Japan,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/E/69026/R/124,EDUCATION,Education,,,Yes,,Traditional aid,04/11/2014,04/11/2014,1,,2014,financial,,US Dollar,,Standard,United Nations Children's Fund,,,
101676,121002,Paid Contribution,24/02/2014,24/02/2014,1328600,,Scaling up the integrated management of severe acute under nutrition among under 5 girls and boys in the most vulnerable communities in Yemen,"Japan, Government of",Government: National government,,Japan,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/H/68976/R/124,NUTRITION,Health,,,Yes,,Traditional aid,04/11/2014,04/11/2014,1,,2014,financial,,US Dollar,,Standard,United Nations Children's Fund,,,
101678,121004,Paid Contribution,24/02/2014,24/02/2014,825091,,Protection (GBV & Child Protection),"Japan, Government of",Government: National government,,Japan,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/P-HR-RL/72883/R/124,PROTECTION (GBV&Child Protection),Protection,,,Yes,,Traditional aid,21/11/2017,04/11/2014,1,,2014,financial,,US Dollar,,Standard,United Nations Children's Fund,,,
101679,121005,Paid Contribution,24/02/2014,24/02/2014,1997522,,"WASH Emergency Project for Yemen. Water, Sanitation and Hygiene","Japan, Government of",Government: National government,,Japan,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/WS/68822/R/124,"WATER, SANITATION AND HYGIENE",Water Sanitation Hygiene,,,Yes,,Traditional aid,04/11/2014,04/11/2014,1,,2014,financial,,US Dollar,,Standard,United Nations Children's Fund,,,
101680,121006,Paid Contribution,24/02/2014,24/02/2014,1578564,,Health,"Japan, Government of",Government: National government,,Japan,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/H/72884/R/124,HEALTH,Health,,,Yes,,Traditional aid,04/11/2014,04/11/2014,1,,2014,financial,,US Dollar,,Standard,United Nations Children's Fund,,,
101681,121007,Paid Contribution,04/06/2014,04/06/2014,593628,3892418,"Improve quality of learning and safe access to education for 1,115,000 IDPs, marginalized and disadvantaged children in the South, Center and North of Yemen","Sweden, Government of",Government: National government,,Sweden,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/E/69026/R/124,EDUCATION,Education,,,Yes,,Traditional aid,04/11/2014,04/11/2014,1,,2014,financial,6.556999,Swedish Krona,,Standard,United Nations Children's Fund,,,
101683,121009,Paid Contribution,04/06/2014,04/06/2014,221038,1449344,Scaling up the integrated management of severe acute under nutrition among under 5 girls and boys in the most vulnerable communities in Yemen,"Sweden, Government of",Government: National government,,Sweden,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/H/68976/R/124,NUTRITION,Health,,,Yes,,Traditional aid,04/11/2014,04/11/2014,1,,2014,financial,6.55699,Swedish Krona,,Standard,United Nations Children's Fund,,,
101684,121010,Paid Contribution,04/06/2014,04/06/2014,852307,5588576,Protection (GBV & Child Protection),"Sweden, Government of",Government: National government,,Sweden,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/P-HR-RL/72883/R/124,PROTECTION (GBV&Child Protection),Protection,,,Yes,,Traditional aid,21/11/2017,04/11/2014,1,,2014,financial,6.556999,Swedish Krona,,Standard,United Nations Children's Fund,,,
101685,121011,Paid Contribution,04/06/2014,04/06/2014,275918,1809194,"WASH Emergency Project for Yemen. Water, Sanitation and Hygiene","Sweden, Government of",Government: National government,,Sweden,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/WS/68822/R/124,"WATER, SANITATION AND HYGIENE",Water Sanitation Hygiene,,,Yes,,Traditional aid,04/11/2014,04/11/2014,1,,2014,financial,6.556999,Swedish Krona,,Standard,"Sweden, Government of",,,
